year,race_number,driver,finish_position,qualifying_position
2019,13,STR,10.0,13.0
2019,13,MAG,12.0,10.0
2019,13,ALB,5.0,14.0
2019,13,KVY,7.0,18.0
2019,13,HUL,8.0,7.0
2019,13,VER,20.0,5.0
2019,13,LAT,DNF,DNF
2019,13,HAM,2.0,3.0
2019,13,SAI,19.0,17.0
2019,13,BOT,3.0,4.0
2019,13,KUB,17.0,20.0
2019,13,GIO,18.0,15.0
2019,13,RUS,15.0,19.0
2019,14,RIC,4.0,5.0
2019,14,NOR,10.0,14.0
2019,14,VET,13.0,4.0
2019,14,RAI,15.0,10.0
2019,14,GRO,16.0,16.0
2019,14,GAS,11.0,15.0
2019,14,PER,7.0,17.0
2019,14,LEC,1.0,1.0
2019,14,STR,12.0,9.0
2019,14,MAG,18.0,12.0
2019,14,ALB,6.0,8.0
2019,14,KVY,19.0,13.0
2019,14,HUL,5.0,6.0
2019,14,VER,8.0,20.0
2019,14,HAM,3.0,2.0
2019,14,SAI,20.0,7.0
2019,14,RUS,14.0,18.0
2019,14,BOT,2.0,3.0
2019,14,KUB,17.0,19.0
2019,14,GIO,9.0,11.0
2019,15,RIC,14.0,20.0
2019,15,NOR,7.0,9.0
2019,15,VET,1.0,3.0
2019,15,RAI,18.0,13.0
2019,15,GRO,11.0,17.0
2019,15,GAS,8.0,12.0
2019,15,PER,19.0,10.0
2019,15,LEC,2.0,1.0
2019,15,STR,13.0,16.0
2019,15,MAG,17.0,14.0
2019,15,ALB,6.0,6.0
2019,15,KVY,15.0,15.0
2019,15,HUL,9.0,8.0
2019,15,VER,3.0,4.0
2019,15,HAM,4.0,2.0
2019,15,SAI,12.0,7.0
2019,15,RUS,20.0,18.0
2019,15,BOT,5.0,5.0
2019,15,KUB,16.0,19.0
2019,15,GIO,10.0,11.0
2019,16,RIC,19.0,10.0
2019,16,NOR,8.0,8.0
2019,16,VET,18.0,3.0
2019,16,RAI,13.0,16.0
2019,16,GRO,20.0,9.0
2019,16,GAS,14.0,11.0
2019,16,PER,7.0,12.0
2019,16,LEC,3.0,1.0
2019,16,STR,11.0,15.0
2019,16,MAG,9.0,14.0
2019,16,ALB,5.0,19.0
2019,16,KVY,12.0,20.0
2019,16,HUL,10.0,7.0
2019,16,VER,4.0,4.0
2019,16,HAM,1.0,2.0
2019,16,SAI,6.0,6.0
2019,16,RUS,17.0,17.0
2019,16,BOT,2.0,5.0
2019,16,KUB,16.0,18.0
2019,16,GIO,15.0,13.0
2019,17,RIC,19.0,16.0
2019,17,NOR,11.0,8.0
2019,17,VET,2.0,1.0
2019,17,RAI,12.0,13.0
2019,17,GRO,13.0,10.0
2019,17,PER,8.0,17.0
2019,17,LEC,6.0,2.0
2019,17,STR,9.0,12.0
2019,17,MAG,15.0,19.0
2019,17,ALB,4.0,6.0
2019,17,KVY,10.0,14.0
2019,17,HUL,20.0,15.0
2019,17,VER,18.0,5.0
2019,17,YAM,DNF,DNF
2019,17,HAM,3.0,4.0
2019,17,SAI,5.0,7.0
2019,17,RUS,16.0,18.0
2019,17,BOT,1.0,3.0
2019,17,KUB,17.0,20.0
2019,17,GIO,14.0,11.0
2019,17,GAS,7.0,9.0
2019,18,RIC,8.0,13.0
2019,18,NOR,20.0,8.0
2019,18,VET,2.0,3.0
2019,18,RAI,19.0,14.0
2019,18,GRO,17.0,18.0
2019,18,GAS,9.0,10.0
2019,18,PER,7.0,11.0
2019,18,LEC,4.0,2.0
2019,18,STR,12.0,16.0
2019,18,MAG,15.0,17.0
2019,18,ALB,5.0,5.0
2019,18,KVY,11.0,9.0
2019,18,HUL,10.0,12.0
2019,18,VER,6.0,1.0
2019,18,LAT,DNF,DNF
2019,18,HAM,1.0,4.0
2019,18,SAI,13.0,7.0
2019,18,RUS,16.0,19.0
2019,18,BOT,3.0,6.0
2019,18,GIO,14.0,15.0
2019,18,KUB,18.0,20.0
2019,19,RIC,6.0,9.0
2019,19,NOR,7.0,8.0
2019,19,VET,20.0,2.0
2019,19,RAI,11.0,17.0
2019,19,GRO,15.0,15.0
2019,19,GAS,16.0,10.0
2019,19,PER,10.0,19.0
2019,19,LEC,4.0,4.0
2019,19,STR,13.0,14.0
2019,19,MAG,18.0,12.0
2019,19,ALB,5.0,6.0
2019,19,KVY,12.0,13.0
2019,19,HUL,9.0,11.0
2019,19,VER,3.0,3.0
2019,19,LAT,DNF,DNF
2019,19,HAM,2.0,5.0
2019,19,SAI,8.0,7.0
2019,19,BOT,1.0,1.0
2019,19,KUB,19.0,20.0
2019,19,GIO,14.0,16.0
2019,19,RUS,17.0,18.0
