year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,run_avg_pace,run_deg_rate
2018,4,ERI,116.257777,105.91,11.515451,9,10.347777,40.617222,48.536666,27.103888,37.042,42.835,25.904,116.257777,0.014812600302922878
2018,4,GAS,109.909555,104.905,6.753183,9,5.004555,39.061111,44.461555,26.386888,36.689,42.219,25.486,109.909555,0.014812600302922878
2018,4,PER,116.7308,103.936,16.609887,5,12.7948,42.685,48.148,25.8978,36.566,42.001,25.193,116.7308,0.014812600302922878
2018,4,ALO,110.415285,104.763,6.636452,7,5.652285,38.979857,45.034285,26.401142,36.605,42.193,25.73,110.415285,0.014812600302922878
2018,4,LEC,114.3695,105.218,12.0395,8,9.1515,40.625625,47.548125,26.19575,36.814,42.568,25.568,114.3695,0.014812600302922878
2018,4,STR,110.526,104.123,9.055209,2,6.4030000000000005,39.6385,44.6165,26.271,36.42,41.95,25.753,110.526,0.014812600302922878
2018,4,MAG,108.1645,103.958,4.214658,6,4.2065,38.008166,44.070833,26.0855,36.36,42.055,25.515,108.1645,0.014812600302922878
2018,4,HUL,111.53475,105.456,7.041371,8,6.07875,39.899875,44.830125,26.80475,36.925,42.286,25.774,111.53475,0.014812600302922878
2018,4,HAR,114.44575,106.186,9.955279,4,8.25975,42.00125,45.5545,26.89,36.928,42.826,26.072,114.44575,0.014812600302922878
2018,4,OCO,116.0048,104.22,15.376574,5,11.7848,42.0228,47.7204,26.2616,36.376,42.107,25.558,116.0048,0.014812600302922878
2018,4,VER,108.918636,103.519,5.882911,11,5.399636,38.626727,44.192727,26.099181,36.518,41.5,25.391,108.918636,0.014812600302922878
2018,4,SIR,112.765,104.534,10.12296,5,8.231,40.477,45.6772,26.6108,36.366,42.196,25.972,112.765,0.014812600302922878
2018,4,HAM,115.3784,103.452,14.70813,10,11.9264,42.2367,46.7382,26.4035,35.813,41.727,25.385,115.3784,0.014812600302922878
2018,4,SAI,114.0927,105.432,10.357775,10,8.6607,40.7584,46.6284,26.7059,37.052,42.395,25.833,114.0927,0.014812600302922878
2018,4,BOT,110.733615,103.569,6.678205,13,7.164615,39.69623,45.30723,25.730153,36.147,41.912,25.51,110.733615,0.014812600302922878
2018,5,VAN,89.295,79.27,13.591436,5,10.025,24.8722,33.105,31.3178,22.315,29.447,27.42,89.295,0.027269760900140657
2018,5,RIC,90.079,77.981,12.086296,5,12.098,24.1122,34.7192,31.2476,22.086,29.039,26.787,90.079,0.027269760900140657
2018,5,VET,86.016,77.55,14.616801,3,8.466,24.123333,32.388666,29.504,21.942,28.89,26.708,86.016,0.027269760900140657
2018,5,RAI,86.5195,77.581,10.74565,4,8.9385,23.8495,33.0575,29.6125,21.94,28.941,26.691,86.5195,0.027269760900140657
2018,5,GRO,89.6618,78.706,10.758781,5,10.9558,24.7768,34.1318,30.7532,22.029,29.309,27.299,89.6618,0.027269760900140657
2018,5,ERI,101.093666,83.191,15.787577,3,17.902666,27.326,40.020666,33.747,22.262,30.15,30.779,101.093666,0.027269760900140657
2018,5,GAS,86.403333,78.886,11.344021,3,7.517333,24.139666,32.851,29.412666,22.212,29.484,27.106,86.403333,0.027269760900140657
2018,5,PER,92.42225,79.376,14.996712,4,13.04625,25.4555,35.8585,31.10825,22.223,29.704,27.27,92.42225,0.027269760900140657
2018,5,ALO,85.230333,78.847,10.994827,3,6.383333,24.005,31.600666,29.624666,22.153,29.438,27.16,85.230333,0.027269760900140657
2018,5,LEC,91.8385,79.292,10.693919,6,12.5465,24.726833,36.303833,30.807833,22.141,29.764,27.356,91.8385,0.027269760900140657
2018,5,STR,88.362666,79.9,14.276696,3,8.462666,24.159666,32.835,31.368,22.434,29.855,27.611,88.362666,0.027269760900140657
2018,5,MAG,88.74975,78.357,12.869685,4,10.39275,23.4545,34.26075,31.0345,21.928,29.36,27.061,88.74975,0.027269760900140657
2018,5,HUL,89.766,78.905,11.448111,4,10.861,24.2215,33.07275,32.47175,22.409,29.359,27.137,89.766,0.027269760900140657
2018,5,HAR,90.964,79.428,10.194941,8,11.536,24.0795,34.579875,32.304625,22.214,29.997,27.082,90.964,0.027269760900140657
2018,5,OCO,90.8805,79.121,12.832912,6,11.7595,25.4105,34.5725,30.8975,22.176,29.729,27.216,90.8805,0.027269760900140657
2018,5,SIR,90.747,79.909,18.355265,3,10.838,24.903666,36.175333,29.668,22.29,29.801,27.805,90.747,0.027269760900140657
2018,5,HAM,97.058333,77.281,21.082576,3,19.777333,28.227,37.452,31.379333,21.924,28.787,26.57,97.058333,0.027269760900140657
2018,5,SAI,92.664333,78.783,12.327006,3,13.881333,23.842666,33.844666,34.977,22.11,29.323,27.35,92.664333,0.027269760900140657
2018,5,BOT,87.784,77.294,14.159284,5,10.49,24.4682,33.6014,29.7144,21.88,28.699,26.715,87.784,0.027269760900140657
2018,6,VAN,85.763235,72.874,14.106925,17,12.889235,21.791235,39.145882,24.826117,19.187,34.293,19.331,85.763235,0.008453757918164691
2018,6,RIC,82.559875,71.786,15.021696,16,10.773875,21.266,38.205375,23.0885,18.887,33.624,19.013,82.559875,0.008453757918164691
2018,6,VET,84.62175,72.023,11.512752,12,12.59875,21.728583,40.017583,22.875583,18.874,33.78,19.109,84.62175,0.008453757918164691
2018,6,RAI,84.143083,72.142,16.656109999999998,12,12.001083,21.108083,37.988833,25.046166,18.862,33.875,19.291,84.143083,0.008453757918164691
2018,6,GRO,84.789071,73.881,15.038597,14,10.908071,21.034571,37.662857,26.091642,19.479,34.678,19.716,84.789071,0.008453757918164691
2018,6,ERI,85.014761,74.221,13.260853000000001,21,10.793761,21.79,39.103952,24.120809,19.582,34.775,19.636,85.014761,0.008453757918164691
2018,6,GAS,87.622692,72.761,18.07767,13,14.861692,21.273,38.931846,27.417846,19.088,34.128,19.292,87.622692,0.008453757918164691
2018,6,PER,91.369,73.025,17.000415,16,18.344,22.628937,41.87125,26.868812,19.347,34.242,19.387,91.369,0.008453757918164691
2018,6,ALO,84.274933,73.279,15.938119,15,10.995933,20.714133,39.020066,24.540733,19.145,34.407,19.518,84.274933,0.008453757918164691
2018,6,LEC,86.840666,73.644,12.94642,18,13.196666,21.883666,39.688666,25.268333,19.473,34.504,19.496,86.840666,0.008453757918164691
2018,6,STR,85.305052,73.595,14.043005,19,11.710052,21.560263,38.864842,24.879947,19.15,34.553,19.637,85.305052,0.008453757918164691
2018,6,MAG,85.601307,74.192,16.559406,13,11.409307,21.301538,38.736,25.563769,19.742,34.706,19.618,85.601307,0.008453757918164691
2018,6,HUL,85.482285,73.112,16.067594,14,12.370284999999999,22.028428,38.295571,25.158285,19.327,34.286,19.363,85.482285,0.008453757918164691
2018,6,HAR,86.123,72.752,16.519744,14,13.371,21.772357,38.808642,25.542,19.167,34.247,19.326,86.123,0.008453757918164691
2018,6,OCO,87.094176,72.94,15.71805,17,14.154176,22.424588,39.275882,25.393705,19.451,34.061,19.428,87.094176,0.008453757918164691
2018,6,VER,83.594666,71.787,12.729268,9,11.807666,21.177111,38.883555,23.534,18.777,33.85,19.031,83.594666,0.008453757918164691
2018,6,SIR,85.543285,72.854,13.257667,14,12.689285,21.494928,40.506428,23.541928,19.095,34.336,19.423,85.543285,0.008453757918164691
2018,6,HAM,88.380142,72.273,13.166901,14,16.107142,21.8945,39.8655,26.620142,18.979,33.915,19.25,88.380142,0.008453757918164691
2018,6,SAI,85.613357,72.85,14.649754,14,12.763357,21.757071,38.452785,25.4035,19.158,34.145,19.511,85.613357,0.008453757918164691
2018,6,BOT,86.824,72.356,14.099169,14,14.468,21.656071,38.463785,26.704142,19.055,33.949,19.285,86.824,0.008453757918164691
2018,7,VAN,84.350615,73.034,19.290826,13,11.316615,26.367692,25.677461,32.305461,20.151,23.404,29.432,84.350615,-0.007342170674599585
2018,7,RIC,81.1939,72.153,9.714221,20,9.0409,22.44865,26.09715,32.6481,19.738,23.099,29.306,81.1939,-0.007342170674599585
2018,7,VET,80.4042,71.648,11.627172999999999,10,8.7562,22.2152,25.671,32.518,19.816,22.884,28.948,80.4042,-0.007342170674599585
2018,7,RAI,79.578625,71.65,10.687394,8,7.928625,21.9825,25.8765,31.719625,19.821,22.847,28.891,79.578625,-0.007342170674599585
2018,7,GRO,81.359545,73.014,8.820294,11,8.345545,21.962272,25.59009,33.807181,20.216,23.317,29.481,81.359545,-0.007342170674599585
2018,7,ERI,87.309142,73.925,15.70443,14,13.384142,24.5345,29.278428,33.496214,20.453,23.633,29.6,87.309142,-0.007342170674599585
2018,7,GAS,83.874,73.334,11.131746,11,10.54,22.7,27.762727,33.411272,20.209,23.469,29.598,83.874,-0.007342170674599585
2018,7,PER,83.852909,72.903,12.66593,11,10.949909,23.112545,27.035818,33.704545,20.213,23.33,29.36,83.852909,-0.007342170674599585
2018,7,ALO,78.8911,73.225,5.303725,10,5.6661,22.0615,25.3273,31.502299999999998,20.212,23.381,29.579,78.8911,-0.007342170674599585
2018,7,LEC,84.043692,73.452,12.255374,13,10.591692,23.51523,27.357384,33.171076,20.236,23.549,29.508,84.043692,-0.007342170674599585
2018,7,STR,81.91709,73.968,9.383682,11,7.94909,22.769545,26.571181,32.576363,20.42,23.507,29.652,81.91709,-0.007342170674599585
2018,7,MAG,84.17975,73.488,11.339837,16,10.69175,23.183187,28.133,32.863562,20.262,23.352,29.716,84.17975,-0.007342170674599585
2018,7,HUL,79.413888,72.946,8.892137,9,6.467888,22.300888,26.023555,31.089444,20.251,23.396,29.252,79.413888,-0.007342170674599585
2018,7,HAR,82.514,73.076,7.912461,16,9.438,22.805875,26.828625,32.8795,20.213,23.473,29.36,82.514,-0.007342170674599585
2018,7,OCO,82.579538,73.064,10.070118,13,9.515538,23.85523,26.631615,32.092692,20.196,23.424,29.286,82.579538,-0.007342170674599585
2018,7,VER,80.552375,71.599,11.709439,8,8.953375,21.560375,26.353375,32.638625,19.639,22.891,29.021,80.552375,-0.007342170674599585
2018,7,SIR,84.988916,73.818,12.90542,12,11.170916,24.245916,28.088416,32.654583,20.486,23.554,29.739,84.988916,-0.007342170674599585
2018,7,HAM,79.134312,71.706,7.812635,16,7.428312,21.38325,25.419875,32.331187,19.533,22.876,29.297,79.134312,-0.007342170674599585
2018,7,SAI,82.274266,73.331,11.840089,15,8.943266,23.1764,26.7228,32.375066,20.235,23.367,29.461,82.274266,-0.007342170674599585
2018,7,BOT,80.29975,72.255,10.040177,20,8.04475,22.1745,25.74395,32.3813,19.758,23.083,29.28,80.29975,-0.007342170674599585
2018,8,VAN,97.547,97.547,0.0,1,0.0,24.873,30.421,42.253,24.873,30.421,42.253,97.547,0.09130902255639098
2018,8,RIC,99.738,99.738,0.0,1,0.0,24.165,33.994,41.579,24.165,33.994,41.579,99.738,0.09130902255639098
2018,8,VET,104.952666,96.756,11.039747,3,8.196666,26.701666,33.322666,44.928333,24.484,29.971,41.456,104.952666,0.09130902255639098
2018,8,RAI,109.711,109.711,0.0,1,0.0,25.212,33.362,51.137,25.212,33.362,51.137,109.711,0.09130902255639098
2018,8,ERI,98.45,98.45,0.0,1,0.0,24.78,30.804,42.866,24.78,30.804,42.866,98.45,0.09130902255639098
