year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,quali_clean_laps
2018,5,VAN,82.3214,78.323,8.522166,5,3.9984,23.1258,31.282,27.9136,22.196,29.199,26.858,5
2018,5,GAS,78.773,78.463,0.463636,3,0.31,22.230333,29.482,27.060666,22.119,29.289,26.843,3
2018,5,OCO,85.6385,78.696,8.229877,4,6.9425,23.48825,32.14575,30.0045,22.025,29.566,27.028,4
2018,5,LEC,78.91,78.91,0.0,1,0.0,22.144,29.358,27.408,22.144,29.358,27.408,1
2018,5,PER,85.5692,78.74,9.101771,5,6.8292,23.5914,31.769,30.2088,22.027,29.564,27.106,5
2018,6,RIC,76.466714,70.81,13.128351,7,5.656714,19.440285,35.852571,21.173857,18.638,33.392,18.779,7
2018,6,VET,82.802636,71.039,14.912821,11,11.763636,20.667818,37.69109,24.443727,18.674,33.443,18.922,11
2018,6,HAM,79.255333,71.232,9.985963,12,8.023333,20.73275,36.83825,21.684333,18.594,33.446,19.061,12
2018,6,RAI,78.170666,71.266,8.032233,12,6.904666,19.651333,36.672,21.847333,18.741,33.508,18.987,12
2018,6,BOT,82.509769,71.441,13.293524,13,11.068769,21.001461,37.713692,23.794615,18.716,33.702,18.994,13
2018,6,OCO,80.487133,72.061,11.784333,15,8.426133,21.380933,37.296666,21.809533,19.063,33.795,19.203,15
2018,6,ALO,82.811076,72.11,12.841082,13,10.701076,20.650153,39.265384,22.895538,18.78,33.936,19.198,13
2018,6,SAI,80.668111,72.13,8.828892,18,8.538111,21.094444,37.814,21.759666,18.929,33.828,19.29,18
2018,6,PER,82.0273,72.154,13.552245,10,9.8733,21.7977,38.1537,22.0759,18.988,33.906,19.226,10
2018,6,GAS,81.449875,72.221,11.580177,16,9.228875,20.866625,38.003562,22.579687,18.908,33.789,19.259,16
2018,6,HUL,82.993214,72.411,10.292447,14,10.582214,21.659,38.5315,22.802714,19.049,33.941,19.17,14
2018,6,VAN,83.763,72.44,14.43215,10,11.323,21.8155,38.4603,23.4872,19.008,34.129,19.141,10
2018,6,SIR,84.0069,72.521,14.614457,10,11.4859,21.6728,39.7935,22.5406,19.039,34.183,19.229,10
